"rail_id","external_id","study","BigWigURL"
54414,"0027045b-9ed6-45af-a68e-f55037b5184c","BRCA","http://duffel.rail.bio/recount3/human/data_sources/tcga/base_sums/CA/BRCA/4C/tcga.base_sums.BRCA_0027045b-9ed6-45af-a68e-f55037b5184c.ALL.bw"
235081,"0034ecfd-ca94-4615-94d2-e950a2b240ed","BRCA","http://duffel.rail.bio/recount3/human/data_sources/tcga/base_sums/CA/BRCA/ED/tcga.base_sums.BRCA_0034ecfd-ca94-4615-94d2-e950a2b240ed.ALL.bw"
944367,"004e0c7a-a9f7-43ad-acac-52fb44f567fc","BRCA","http://duffel.rail.bio/recount3/human/data_sources/tcga/base_sums/CA/BRCA/FC/tcga.base_sums.BRCA_004e0c7a-a9f7-43ad-acac-52fb44f567fc.ALL.bw"
939445,"00dd9349-a18d-4a08-8f90-639f64dc5ae6","BRCA","http://duffel.rail.bio/recount3/human/data_sources/tcga/base_sums/CA/BRCA/E6/tcga.base_sums.BRCA_00dd9349-a18d-4a08-8f90-639f64dc5ae6.ALL.bw"
927271,"00e9cce0-2367-4963-a72f-2a08b143b0b8","BRCA","http://duffel.rail.bio/recount3/human/data_sources/tcga/base_sums/CA/BRCA/B8/tcga.base_sums.BRCA_00e9cce0-2367-4963-a72f-2a08b143b0b8.ALL.bw"
233882,"00f24662-71c8-4939-aa6e-0427038545d9","BRCA","http://duffel.rail.bio/recount3/human/data_sources/tcga/base_sums/CA/BRCA/D9/tcga.base_sums.BRCA_00f24662-71c8-4939-aa6e-0427038545d9.ALL.bw"
874096,"00f5f2e4-2971-46e4-ae00-35fe31af4e59","BRCA","http://duffel.rail.bio/recount3/human/data_sources/tcga/base_sums/CA/BRCA/59/tcga.base_sums.BRCA_00f5f2e4-2971-46e4-ae00-35fe31af4e59.ALL.bw"
877601,"00f70d11-3b58-4517-82ec-258cced34a60","BRCA","http://duffel.rail.bio/recount3/human/data_sources/tcga/base_sums/CA/BRCA/60/tcga.base_sums.BRCA_00f70d11-3b58-4517-82ec-258cced34a60.ALL.bw"
435418,"00f7bc18-f333-4231-8d78-338ef77e394f","BRCA","http://duffel.rail.bio/recount3/human/data_sources/tcga/base_sums/CA/BRCA/4F/tcga.base_sums.BRCA_00f7bc18-f333-4231-8d78-338ef77e394f.ALL.bw"
436860,"0141f9ca-a8a1-4ea4-b194-6c3afb943253","BRCA","http://duffel.rail.bio/recount3/human/data_sources/tcga/base_sums/CA/BRCA/53/tcga.base_sums.BRCA_0141f9ca-a8a1-4ea4-b194-6c3afb943253.ALL.bw"
